Replication,K,Gini_post,Weighted_Coverage_Score,Allocation
0,25,0.17765564294206873,14097364.0,"[7, 7, 7, 7, 5, 6, 7, 7, 6, 6, 7, 7]"
0,25,0.17765564294206873,14097364.0,"[7, 7, 7, 7, 5, 6, 7, 7, 6, 6, 7, 7]"
0,25,0.1771750076887352,14081769.0,"[7, 7, 7, 7, 5, 5, 7, 7, 4, 5, 7, 7]"
0,25,0.1762703668942418,14060647.0,"[7, 7, 7, 7, 0, 3, 7, 7, 5, 5, 7, 7]"
0,25,0.17685990856054254,14080524.0,"[7, 7, 7, 7, 0, 6, 7, 7, 6, 6, 7, 7]"
0,25,0.17685990856054254,14080524.0,"[7, 7, 7, 7, 0, 6, 7, 7, 6, 6, 7, 7]"
0,25,0.1744964551555032,13995359.0,"[7, 0, 7, 7, 0, 3, 7, 7, 0, 0, 7, 7]"
0,25,0.1760781573830211,14057580.0,"[7, 7, 7, 7, 0, 6, 7, 7, 6, 0, 7, 7]"
0,25,0.1760781573830211,14057580.0,"[7, 7, 7, 7, 0, 6, 7, 7, 6, 0, 7, 7]"
0,25,0.1760781573830211,14057580.0,"[7, 7, 7, 7, 0, 6, 7, 7, 6, 0, 7, 7]"
0,25,0.1756180608137683,14041527.0,"[7, 7, 7, 7, 0, 3, 7, 7, 5, 0, 7, 7]"
0,25,0.17486604468815944,14013926.0,"[7, 6, 7, 7, 0, 0, 7, 7, 2, 0, 7, 7]"
0,25,0.17424447078151495,13985967.0,"[6, 3, 7, 7, 0, 0, 7, 7, 0, 0, 7, 6]"
0,25,0.1747227877970993,14006891.0,"[7, 3, 7, 7, 0, 3, 7, 7, 0, 0, 7, 7]"
0,25,0.175455349676391,14034484.0,"[7, 5, 7, 7, 0, 6, 7, 7, 2, 0, 7, 7]"
0,25,0.1775266283295903,14093540.0,"[7, 7, 7, 7, 5, 6, 7, 7, 6, 5, 7, 7]"
0,25,0.17466710323203527,14004880.0,"[6, 5, 7, 7, 0, 0, 7, 7, 2, 0, 7, 7]"
0,25,0.1763805493452293,14064929.0,"[7, 7, 7, 7, 0, 5, 7, 7, 4, 5, 7, 7]"
0,25,0.17737449470987018,14086167.0,"[7, 7, 7, 7, 5, 6, 7, 7, 5, 5, 7, 6]"
0,25,0.17728892265217397,14085836.0,"[7, 7, 7, 7, 5, 6, 7, 7, 4, 5, 7, 7]"
0,25,0.17555441622767898,14038328.0,"[7, 6, 7, 7, 0, 6, 7, 7, 2, 0, 7, 7]"
0,25,0.177492876914485,14090019.0,"[7, 7, 7, 7, 5, 6, 7, 7, 6, 5, 7, 6]"
0,25,0.17740819435286084,14089688.0,"[7, 7, 7, 7, 5, 6, 7, 7, 5, 5, 7, 7]"
0,25,0.17521265825962976,14026127.0,"[7, 6, 7, 7, 0, 3, 7, 7, 2, 0, 7, 7]"
0,25,0.17604498927216902,14054059.0,"[7, 7, 7, 7, 0, 6, 7, 7, 6, 0, 7, 6]"
0,25,0.17476724720450854,14010082.0,"[7, 5, 7, 7, 0, 0, 7, 7, 2, 0, 7, 7]"
0,25,0.17549956218826157,14037675.0,"[7, 7, 7, 7, 0, 3, 7, 7, 4, 0, 7, 7]"
